Authors,Author(s) ID,Title,Year,Source_Title,Volume,Issue,Art. No.,Page start,Page end,Page count,Citation,DOI,Link,Abstract,Author Keywords,Document_Type,Publication_Stage,Open Access,Source,EID
"Mugiyo H., Chimonyo V.G.P., Sibanda M., Kunz R., Masemola C.R., Modi A.T., Mabhaudhi T.",57219847711;56532090500;39561458700;7102592577;57190424188;7005866765;39661246400;,Evaluation of land suitability methods with reference to neglected and underutilised crop species: A scoping review,2021,Land,10,2,125,1,24,,5,10.3390/land10020125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100075720&doi=10.3390%2fland10020125&partnerID=40&md5=e1060e8bcf04c3bdaa6ed68e08a85e85,"In agriculture, land use and land classification address questions such as “where”, “why” and “when” a particular crop is grown within a particular agroecology. To date, there are several land suitability analysis (LSA) methods, but there is no consensus on the best method for crop suitability analysis. We conducted a scoping review to evaluate methodological strategies for LSA. Secondary to this, we assessed which of these would be suitable for neglected and underutilised crop species (NUS). The review classified LSA methods reported in articles as traditional (26.6%) and modern (63.4%). Modern approaches, including multi-criteria decision-making (MCDM) methods such as analytical hierarchy process (AHP) (14.9%) and fuzzy methods (12.9%); crop simulation models (9.9%) and machine learning related methods (25.7%) are gaining popularity over traditional methods. The MCDM methods, namely AHP and fuzzy, are commonly applied to LSA while crop models and machine learning related methods are gaining popularity. A total of 67 parameters from climatic, hydrology, soil, socio-economic and landscape properties are essential in LSA. Unavailability and the inclusion of categorical datasets from social sources is a challenge. Using big data and Internet of Things (IoT) improves the accuracy and reliability of LSA methods. The review expects to provide researchers and decision-makers with the most robust methods and standard parameters required in developing LSA for NUS. Qualitative and quantitative approaches must be integrated into unique hybrid land evaluation systems to improve LSA. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Hybrid land evaluation systems; Land management; Machine learning; MCDM; NUS,Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85100075720
"Khoirunisa N., Ku C.-Y., Liu C.-Y.",57204943440;35366572500;56984635000;,A GIS-based artificial neural network model for flood susceptibility assessment,2021,International Journal of Environmental Research and Public Health,18,3,1072,1,20,,2,10.3390/ijerph18031072,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099966628&doi=10.3390%2fijerph18031072&partnerID=40&md5=0c2cadd2028285df91e69dba44fdf23d,"This article presents a geographic information system (GIS)-based artificial neural network (GANN) model for flood susceptibility assessment of Keelung City, Taiwan. Various factors, including elevation, slope angle, slope aspect, flow accumulation, flow direction, topographic wetness index (TWI), drainage density, rainfall, and normalized difference vegetation index, were generated using a digital elevation model and LANDSAT 8 imagery. Historical flood data from 2015 to 2019, including 307 flood events, were adopted for a comparison of flood susceptibility. Using these factors, the GANN model, based on the back-propagation neural network (BPNN), was employed to provide flood susceptibility. The validation results indicate that a satisfactory result, with a correlation coefficient of 0.814, was obtained. A comparison of the GANN model with those from the SOBEK model was conducted. The comparative results demonstrated that the proposed method can provide good accuracy in predicting flood susceptibility. The results of flood susceptibility are categorized into five classes: Very low, low, moderate, high, and very high, with coverage areas of 60.5%, 27.4%, 8.6%, 2.5%, and 1%, respectively. The results demonstrate that nearly 3.5% of the study area, including the core district of the city and an exceedingly populated area including the financial center of the city, can be categorized as high to very high flood susceptibility zones. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Back-propagation neural network; Geographic information system; Historical flood; Prediction; Rainfall,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85099966628
"Ali S.E.A., Lai F.-W., Hassan R., Shad M.K.",57221701885;55641579500;56575985100;57190944943;,The long-run impact of information security breach announcements on investors’ confidence: the context of efficient market hypothesis,2021,Sustainability (Switzerland),13,3,1066,1,27,,4,10.3390/su13031066,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099871586&doi=10.3390%2fsu13031066&partnerID=40&md5=11d3d1a0bf41af9559a5d8aa8887e34c,"Information and communication technologies (ICTs) are the cornerstone for sustainable development, but if they are not appropriately managed, they will impede progress towards the United Nations Global Sustainable Development Goals. Among undesirable impacts, emphasis must be put on the risk of information security (ISec) breaches, as they pose a potential threat to businesses there. Especially for publicly traded firms, they could create a long-lasting influence on their financial performance and, thus, stock investors’ confidence. Following the efficient market hypothesis’s footsteps, previous studies have examined only the short-run impact on investors’ confidence ensuing to ISec breach announcements. Therefore, this study investigates the long-run impact of ISec breach announcements on investors’ confidence. Based on a sample of 73 ISec breach announcements during 2011–2019, this paper examines the impact on investors’ confidence, as demonstrated by long-run abnormal returns and equity risk of those firms. Using a one-to-one matched sampling approach, each firm’s performance is analyzed with its control firm over eighteen months, starting six months before the announcement, through twelve months after the announcement. Firms experienced a significant negative abnormal return of 15% to 18% during the twelve months following the breach announcement. In comparison, equity risk increased by 11% within six months before and after an announcement. This study can help investors, managers, and researchers better understand a long-term relationship between ISec breaches and investor confidence in the context of efficient market hypothesis. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Efficient market hypotheses; Equity risk; Long-run abnormal returns; Sustainable Development Goals (SDGs),Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85099871586
"Dou Z., Wu B., Sun Y., Wang T.",57206491113;57221678475;57205085337;57221679555;,The competitiveness of manufacturing and its driving factors: A case study of g20 participating countries,2021,Sustainability (Switzerland),13,3,1143,1,17,,4,10.3390/su13031143,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099743059&doi=10.3390%2fsu13031143&partnerID=40&md5=65d22b623c66196b16a1ebd205e7de0e,"With the rapid development of high quality industries, it is particularly important to study the sustainable competitiveness of manufacturing and its driving factors. The aim of this paper is to build the whole competitiveness index to analyze the recent development trends of manufacturing in G20 participating countries from 2008 to 2018. Meanwhile, based on the diamond theory, this paper adopted a panel regression model to conduct an empirical analysis on various factors that affect the sustainable competitiveness of manufacturing. These results showed the following: (1) Transport services have the most significant effect on manufacturing in developing countries. (2) Intellectual property only has a positive and significant effect on manufacturing in developed coun-tries. (3) Information technology plays a significant role in all countries, but it is more effective in developed countries. Finally, this paper puts forward some suggestions for the sustainable development of manufacturing. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",International competitiveness; Manufacturing; Sustainable development,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85099743059
"Haque M.S., Uddin S., Sayem S.M., Mohib K.M.",57212212904;57220637498;57221738861;57220636822;,Coronavirus disease 2019 (COVID-19) induced waste scenario: A short overview,2021,Journal of Environmental Chemical Engineering,9,1,104660,,,,31,10.1016/j.jece.2020.104660,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097494193&doi=10.1016%2fj.jece.2020.104660&partnerID=40&md5=d927b925c5f4ff6ed4c9e8b5a972510f,"The COVID-19 pandemic and lockdown situation have shown both positive and negative effects on the environmental aspects. With an unprecedented rate the different types of waste volume have up surged along with the COVID-19 contamination rate. As the situation has mandated people as well as the most infected persons to stay at home, the amount of generated hazardous waste is 3.40 kg that can be expected daily from each infected person. China and other countries have seen a massive increment in the hazardous waste generation (about 600 % increase in Hubei province) amount. While dealing with this sudden increase in waste amount, the conventional incineration facilities have been outstripped and waste management industry is facing an immense pressure over handling hazardous waste generated from COVID-19 infected patients. Alongside with the hazardous waste volume, single-use plastic items and personal protective equipment (PPEs) have induced a new type of ""PPE pollution""in the land and aquatic environment. The current review provides a countrywide waste generation amount, estimated using the infected number of cases for some selected countries. In contrast with the poor waste management noticed during this pandemic, some suggested approaches towards a better waste management service and future implications of waste management are discussed with viable consideration for the waste workers. © 2020 Elsevier Ltd.",COVID-19; Hazardous waste; Medical waste; Plastic waste; Pollution; Single-use plastic,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85097494193
"Stepanyan D., Grethe H., Zimmermann G., Siddig K., Deppermann A., Feuerbacher A., Luckmann J., Valin H., Nishizawa T., Ermolieva T., Havlik P.",57212343002;16039391100;7202804005;55367700500;56312698300;57191228025;55541106600;35273829100;57220162291;6507000038;35221567100;,Multiple rotations of Gaussian quadratures: An efficient method for uncertainty analyses in large-scale simulation models,2021,Environmental Modelling and Software,136,,104929,,,,,10.1016/j.envsoft.2020.104929,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097089274&doi=10.1016%2fj.envsoft.2020.104929&partnerID=40&md5=a07023d3fa66b86491d7d5602848a5ae,"Concerns regarding the impact of climate change, food price volatility, and weather uncertainty have motivated users of simulation models to consider uncertainty in their simulations. One way to do this is to integrate uncertainty components in the model equations, thus turning the model into a problem of numerical integration. Most of these problems do not have analytical solutions, and researchers, therefore, apply numerical approximation methods. This article presents a novel approach to conducting an uncertainty analysis as an alternative to the computationally burdensome Monte Carlo-based (MC) methods. The developed method is based on the degree three Gaussian quadrature (GQ) formulae and is tested using three large-scale simulation models. While the standard single GQ method often produces low-quality approximations, the results of this study demonstrate that the proposed approach reduces the approximation errors by a factor of nine using only 3.4% of the computational effort required by the MC-based methods in the most computationally demanding model. © 2020 Elsevier Ltd",Computable general equilibrium models; Monte Carlo sampling; Multiple rotations of Gaussian quadratures; Partial equilibrium models; Stochastic modeling; Systematic sensitivity analysis; Uncertainty analysis,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85097089274
"Brem A., Viardot E., Nylund P.A.",23984395500;6508205766;56518077700;,Implications of the coronavirus (COVID-19) outbreak for innovation: Which technologies will improve our lives?,2021,Technological Forecasting and Social Change,163,,120451,,,,44,10.1016/j.techfore.2020.120451,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096126786&doi=10.1016%2fj.techfore.2020.120451&partnerID=40&md5=9f42b196d70aff63a7940805da14702f,"In contrast to earlier coronavirus diseases such as SARS or MERS, whose impact was largely limited to specific regions of the world, the novel coronavirus, COVID-19, is affecting people across the globe. This article analyzes the effects of this worldwide phenomenon on certain technologies and how this may improve our lives. It presents technologies that relate directly to the treatment of the virus as well as those that have been used to adapt to living under this crisis. Given that such a pandemic will likely affect humanity again, this article also highlights how these technologies may prove helpful in the future. To this end, technological challenges, related innovation logics, and their social impacts are discussed. © 2020",COVID-19; Forecasting; Innovation; Pandemic; Technological change,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85096126786
"Dong R., Wang Y., Lu C., Lei G., Wen L.",57219697730;37073955900;12783468400;7005996325;35338655400;,The seasonality of macroinvertebrate ? diversity along the gradient of hydrological connectivity in a dynamic river-floodplain system,2021,Ecological Indicators,121,,107112,,,,4,10.1016/j.ecolind.2020.107112,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094842166&doi=10.1016%2fj.ecolind.2020.107112&partnerID=40&md5=4f1b7b3b295b2b42b066b7a86366c35a,"Anthropogenic disturbance to natural hydrological connectivity, both longitudinal, lateral, and vertical, is threatening the ecological integrity of the freshwater realm. River-floodplain system is particularly adversely affected by the reduction in lateral hydrological connectivity (LHC), representing one of major biodiversity hotspots under increasingly pressure. Many studies have demonstrated that LHC has great influence on the spatial variations of flora and fauna communities (i.e. spatial ? diversity) through facilitating dispersal. However, to fully understand the impact of anthropogenic disturbances on biodiversity, we must also understand how ecological communities change over time (i.e. temporal ? diversity, TBI) and the underlying processes. To evaluate the processes structuring ecological communities, we examined the macroinvertebrate TBI in habitats along the gradient of LHC for an entire hydrological cycle in West Dongting Lake, a Ramsar-listed floodplain wetland at the middle reach of Yangtze River. Our results showed that the total spatial ? diversity fluctuated with water level and peaked at high-water phase, and LHC was the driving forcing affecting both species richness and abundance in all hydrological periods. In particular, species richness and abundance were highest in habitats with medium LHC levels for water-rising and high-water periods reflecting the intermediate disturbance hypothesis except for water-recessing, during which there was no clear pattern. While replacement determined ? diversity in most sites at water-rising and high-water phases, the contribution of nestedness were high during water-withdrawing phase. From water-rising to high-water, macroinvertebrates from other habitats spread to the modified mudflats, which had the lowest LHC, along with the floods. During water-withdrawing period, ? diversity and its turnover component of all habitats were low compared with other hydrological phases. Temporal ? diversity analysis illustrated that the species dispersal was the main mechanism underlying the temporal and spatial variations in the observed community patterns. These findings demonstrated that hydrological connectivity was critical to maintaining the ecological integrity of river-floodplain ecosystems. © 2020 The Authors",B-C plots; Dispersal ability; Hydrological connectivity; Nestedness; Turnover,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85094842166
"Choi T.J., Togelius J., Cheong Y.-G.",55807775600;55918891800;15055378700;,A Fast and efficient stochastic opposition-based learning for differential evolution in numerical optimization,2021,Swarm and Evolutionary Computation,60,,100768,,,,6,10.1016/j.swevo.2020.100768,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091494202&doi=10.1016%2fj.swevo.2020.100768&partnerID=40&md5=d1cd4f203a4ce75c060bfe7440e1f6f5,"A fast and efficient stochastic opposition-based learning (OBL) variant is proposed in this paper. OBL is a machine learning concept to accelerate the convergence of soft computing algorithms, which consists of simultaneously calculating an original solution and its opposite. Recently, a stochastic OBL variant called BetaCOBL was proposed, which is capable of controlling the degree of opposite solutions, preserving useful information held by original solutions, and preventing the waste of fitness evaluations. While it has shown outstanding performance compared to several state-of-the-art OBL variants, the high computational cost of BetaCOBL may hinder it from cost-sensitive optimization problems. Also, as it assumes that the decision variables of a given problem are independent, BetaCOBL may be ineffective for optimizing inseparable problems. In this paper, we propose an improved BetaCOBL that mitigates all the limitations. The proposed algorithm called iBetaCOBL reduces the computational cost from O(NP2 · D) to O(NP · D) (NP and D stand for population size and a dimension, respectively) using a linear time diversity measure. Also, the proposed algorithm preserves strongly dependent variables that are adjacent to each other using multiple exponential crossover. We used differential evolution (DE) variants to evaluate the performance of the proposed algorithm. The results of the performance evaluations on a set of 58 test functions show the excellent performance of iBetaCOBL compared to ten state-of-the-art OBL variants, including BetaCOBL. © 2020",Artificial intelligence; Differential evolution; Evolutionary algorithms; Numerical optimization; Opposition-Based learning,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85091494202
"Chang I.-C.C., Jou S.-C., Chung M.-K.",55578885900;55667234300;55534376000;,Provincialising smart urbanism in Taipei: The smart city as a strategy for urban regime transition,2021,Urban Studies,58,3,,559,580,,5,10.1177/0042098020947908,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090992775&doi=10.1177%2f0042098020947908&partnerID=40&md5=02bc9b9e5b95bf41038787550ba5d32e,"The appeal of revolutionising urban governance through information technologies has prompted cities across the globe to pursue smart city initiatives. The mainstream scholarship on these initiatives has mostly focused on technology and corporate-led urban development, and it also often privileges the experience of cities in the global North. Nevertheless, this mainstream understanding of the smart city may obscure emerging new power dynamics and locally contextualised processes associated with smart urban development, especially in cities at the global periphery. Inspired by post-colonial theories, this article makes the case for ‘provincialising’ smart urbanism by dislodging technology from the centre of analysis, accentuating perspectives of cities outside the locations where the smart city knowledge is traditionally produced and attending to power relationships. In our case study of Taipei, this provincialising approach helps unveil various logics, intentionalities, assemblages and power dynamics through which the smart city is employed as a political strategy to facilitate urban regime transition. We argue that the current non-affiliated Ko administration exploits the veneer of technological superiority and political neutrality of its smart city agenda to set a new growth agenda, form new development coalitions, establish new institutions and incorporate rising populist momentum into policy-making. Focusing on the politics of being smart, our findings illustrate how smart city experiments reshape power dynamics and regime formation through reorganising actors and interest groups, reconfiguring government institutions, reallocating resource distribution and, in the end, bolstering governing legitimacy. © Urban Studies Journal Limited 2020.",provincialising; smart city; Taipei; urban regime transition,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85090992775
"Schranz M., Di Caro G.A., Schmickl T., Elmenreich W., Arvin F., ?ekercio?lu A., Sende M.",56604850600;6603204674;6507768024;6505948861;35118570800;57188661406;57210157381;,"Swarm Intelligence and cyber-physical systems: Concepts, challenges and future trends",2021,Swarm and Evolutionary Computation,60,,100762,,,,19,10.1016/j.swevo.2020.100762,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090005022&doi=10.1016%2fj.swevo.2020.100762&partnerID=40&md5=12202a74dc37af9cc6e16928fc8a49dc,"Swarm Intelligence (SI) is a popular multi-agent framework that has been originally inspired by swarm behaviors observed in natural systems, such as ant and bee colonies. In a system designed after swarm intelligence, each agent acts autonomously, reacts on dynamic inputs, and, implicitly or explicitly, works collaboratively with other swarm members without a central control. The system as a whole is expected to exhibit global patterns and behaviors. Although well-designed swarms can show advantages in adaptability, robustness, and scalability, it must be noted that SI system have not really found their way from lab demonstrations to real-world applications, so far. This is particularly true for embodied SI, where the agents are physical entities, such as in swarm robotics scenarios. In this paper, we start from these observations, outline different definitions and characterizations, and then discuss present challenges in the perspective of future use of swarm intelligence. These include application ideas, research topics, and new sources of inspiration from biology, physics, and human cognition. To motivate future applications of swarms, we make use of the notion of cyber-physical systems (CPS). CPSs are a way to encompass the large spectrum of technologies including robotics, internet of things (IoT), Systems on Chip (SoC), embedded systems, and so on. Thereby, we give concrete examples for visionary applications and their challenges representing the physical embodiment of swarm intelligence in autonomous driving and smart traffic, emergency response, environmental monitoring, electric energy grids, space missions, medical applications, and human networks. We do not aim to provide new solutions for the swarm intelligence or CPS community, but rather build a bridge between these two communities. This allows us to view the research problems of swarm intelligence from a broader perspective and motivate future research activities in modeling, design, validation/verification, and human-in-the-loop concepts. © 2020",Cyber-physical systems; Swarm intelligence; Swarm robotics,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85090005022
"Israilidis J., Odusanya K., Mazhar M.U.",55502856500;57188997528;57197824718;,Exploring knowledge management perspectives in smart city research: A review and future research agenda,2021,International Journal of Information Management,56,,101989,,,,22,10.1016/j.ijinfomgt.2019.07.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070754496&doi=10.1016%2fj.ijinfomgt.2019.07.015&partnerID=40&md5=d1fa924d429e2abafeb440260540a7ad,"There is a growing body of literature calling for work on the emerging role of smart cities as information hubs and knowledge repositories. This article reviews the existing smart city literature and integrates knowledge management perspectives to provide an overview of future research directions. By demonstrating the multi-stakeholder relationships involved in smart city development, it takes a crucial step towards looking into the role of knowledge management in future smart city research. Eighty-two peer-reviewed publications were analyzed covering smart city studies in various research domains. The systematic review identifies five different themes: strategy and vision, frameworks, enablers and inhibitors, citizen participation, and benefits. These themes form the basis for developing a future research agenda focused on knowledge sharing and co-learning among cities via three research directions: socio-technical approaches, knowledge sharing perspectives and organizational learning capabilities. The paper also proposes a series of knowledge-driven policy recommendations to contribute towards the UN Sustainable Development Goals. © 2019 Elsevier Ltd",Knowledge management; Literature review; Policy implications; Smart cities,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85070754496
"Tavana M., Shaabani A., Valaei N.",6603702674;57203692080;8318662400;,An integrated fuzzy framework for analyzing barriers to the implementation of continuous improvement in manufacturing,2021,International Journal of Quality and Reliability Management,38,1,,116,146,,4,10.1108/IJQRM-06-2019-0196,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082932460&doi=10.1108%2fIJQRM-06-2019-0196&partnerID=40&md5=83eab28a4ae32bdb810d38f166f80836,"Purpose: Delivering premium services and quality products are critical strategies for success in manufacturing. Continuous improvement (CI), as an underlying foundation for quality management, is an ongoing effort allowing manufacturing companies to see beyond the present to create a bright future. We propose a novel integrated fuzzy framework for analyzing the barriers to the implementation of CI in manufacturing companies. Design/methodology/approach: We use the fuzzy failure mode and effect analysis (FMEA) and a fuzzy Shannon's entropy to identify and weigh the most significant barriers. We then use fuzzy multi-objective optimization based on ratio analysis (MOORA), the fuzzy technique for order of preference by similarity to ideal solution (TOPSIS) and fuzzy simple additive weighting (SAW) methods for prioritizing and ranking the barriers with each method. Finally, we aggregate these results with Copeland's method and extract the main CI implementation barriers in manufacturing. Findings: We show “low cooperation and integration of the team in CI activities” is the most important barrier in CI implementation. Other important barriers are “limited management support in CI activities,” “low employee involvement in CI activities,” “weak communication system in the organization,” and “lack of knowledge in the organization to implement CI projects.” Originality/value: We initially identify the barriers to the implementation of CI through rigorous literature review and then apply a unique integrated fuzzy approach to identify the most important barriers based on the opinions of industry experts and academics. © 2020, Emerald Publishing Limited.",Continuous improvement; Copeland's method; Failure mode and effect analysis; Fuzzy logic; Shannon's entropy,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85082932460
"Tushar W., Yuen C., Saha T.K., Morstyn T., Chapman A.C., Alam M.J.E., Hanif S., Poor H.V.",22037167900;24473792300;35570365800;56396999100;56654789500;57199297970;56602557300;55665272100;,Peer-to-peer energy systems for connected communities: A review of recent advances and emerging challenges,2021,Applied Energy,282,,116131,,,,47,10.1016/j.apenergy.2020.116131,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096193711&doi=10.1016%2fj.apenergy.2020.116131&partnerID=40&md5=11d921edc2d3fc16560082a8c07770d3,"After a century of relative stability in the electricity industry, extensive deployment of distributed energy resources and recent advances in computation and communication technologies have changed the nature of how we consume, trade, and apply energy. The power system is facing a transition from its traditional hierarchical structure to a more decentralized model by introducing new energy distribution models such as peer-to-peer (P2P) sharing for connected communities. The proven effectiveness of P2P sharing in benefiting both prosumers and the grid has been demonstrated in many studies and pilot projects. However, there is still no extensive implementation of such sharing models in today's electricity markets. This paper aims to shed some light on this gap through a comprehensive overview of recent advances in the P2P energy system and an insightful discussion of the challenges that need to be addressed in order to establish P2P sharing as a viable energy management option in today's electricity market. To this end, in this article, we provide some background on different aspects of P2P sharing. Then, we discuss advances in P2P sharing through a systematic domain-based classification. We also review different pilot projects on P2P sharing across the globe. Finally, we identify and discuss a number of challenges that need to be addressed for scaling up P2P sharing in electricity markets followed by concluding remarks at the end of the paper. © 2020 Elsevier Ltd",Connected community; Electric vehicle; Energy sharing; Negawatt; Peer-to-peer network; Renewable; Review paper; Solar; Storage,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85096193711
"Mohd Aman A.H., Hassan W.H., Sameen S., Attarbashi Z.S., Alizadeh M., Latiff L.A.",56029598700;56036857900;57219801672;57217593684;57200185147;9943196500;,"IoMT amid COVID-19 pandemic: Application, architecture, technology, and security",2021,Journal of Network and Computer Applications,174,,102886,,,,29,10.1016/j.jnca.2020.102886,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095586278&doi=10.1016%2fj.jnca.2020.102886&partnerID=40&md5=c20c02c6bbfdda05c093055119c3f8ed,"In many countries, the Internet of Medical Things (IoMT) has been deployed in tandem with other strategies to curb the spread of COVID-19, improve the safety of front-line personnel, increase efficacy by lessening the severity of the disease on human lives, and decrease mortality rates. Significant inroads have been achieved in terms of applications and technology, as well as security which have also been magnified through the rapid and widespread adoption of IoMT across the globe. A number of on-going researches show the adoption of secure IoMT applications is possible by incorporating security measures with the technology. Furthermore, the development of new IoMT technologies merge with Artificial Intelligence, Big Data and Blockchain offers more viable solutions. Hence, this paper highlights the IoMT architecture, applications, technologies, and security developments that have been made with respect to IoMT in combating COVID-19. Additionally, this paper provides useful insights into specific IoMT architecture models, emerging IoMT applications, IoMT security measurements, and technology direction that apply to many IoMT systems within the medical environment to combat COVID-19. © 2020 Elsevier Ltd",COVID-19 pandemic mitigation; IoMT application; IoMT architecture; IoMT security; IoMT technology,Review,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85095586278
"Rana P., Varshney L.R.",56861921400;15050053300;,Trustworthy Predictive Algorithms for Complex Forest System Decision-Making,2021,Frontiers in Forests and Global Change,3,,587178,,,,,10.3389/ffgc.2020.587178,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106734701&doi=10.3389%2fffgc.2020.587178&partnerID=40&md5=019e5a0d0a799f1bc5cfe395da12d2ea,"Advances in predictive algorithms are revolutionizing how we understand and design effective decision support systems in many sectors. The expanding role of predictive algorithms is part of a broader movement toward using data-driven machine learning (ML) for modalities including images, natural language, speech. This article reviews whether and to what extent predictive algorithms can assist decision-making in forest conservation and management. Although state-of-the-art ML algorithms provide new opportunities, adoption has been slow in forest decision-making. This review shows how domain-specific characteristics, such as system complexity, impose limits on using predictive algorithms in forest conservation and management. We conclude with possible directions for developing new predictive tools and approaches to support meaningful forest decisions through easily interpretable and explainable recommendations. © Copyright © 2021 Rana and Varshney.",forest system complexity; forestry; limits to prediction; machine learning; trustworthy algorithms,Review,Final,"All Open Access, Gold",Scopus,2-s2.0-85106734701
"Wang W., Feng L., Zheng T., Liu Y.",56451959200;57207863421;57205405592;55812026500;,The sustainability of ecotourism stakeholders in ecologically fragile areas: Implications for cleaner production,2021,Journal of Cleaner Production,279,,123606,,,,5,10.1016/j.jclepro.2020.123606,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089747628&doi=10.1016%2fj.jclepro.2020.123606&partnerID=40&md5=42472a0298f8c2b77591529abcc173ab,"The research on ecotourism has attracted much attention in recent years with the increasing awareness of sustainable development and environmental protection. In the development and construction of ecotourism in ecologically fragile areas, however, conflicts of interest between stakeholders often negatively affect the efficiency and effectiveness of ecotourism construction. This paper applied evolutionary game theory to analyse the evolutionary stable strategies of local governments, tourism enterprises and residents in the development and construction of ecotourism in ecologically fragile areas, to explore the mechanism that influences the sustainable development policies. The evolutionary stable strategies of the game were calculated and the dynamic simulation of the model was also discussed by using a system dynamics method to analyse the stability of interaction among the stakeholders and determine an equilibrium solution. The simulation results showed that the strategic choices of the three stakeholders fluctuate repeatedly, which indicated that there was no evolutionary stability strategy in the interaction among the current stakeholders. Therefore, an optimized dynamic penalty-incentive control method was proposed to control the fluctuation, after which the simulation results showed that the optimized dynamic penalty-incentive control method can not only effectively suppress the fluctuation but also obtain an ideal evolutionary stable strategy. Then, the cooperation mode can be changed from any original status into the desired target. This research provides valuable information for the design of appropriate policies and business models to coordinate the interests of stakeholders and promote the development of ecotourism, as well as contributes to the environmental and sustainability research and practice. © 2020 Elsevier Ltd",Ecologically fragile areas; Ecotourism; Evolutionary game theory; Stability control scenarios; Sustainability; System dynamics,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85089747628
"Alipour H., Amelshahbaz S., Safaeimanesh F., Peyravi B., Salavati A.",55924456400;57221687616;57211289964;57205420979;57191829246;,The impact of environmental stimuli on hotel service employees’ service sabotage-mediation role of emotional intelligence and emotional dissonance,2021,Sustainability (Switzerland),13,2,876,1,18,,2,10.3390/su13020876,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099855491&doi=10.3390%2fsu13020876&partnerID=40&md5=774e558dd5fadb881aca5d8cab4ad824,"While scholarly inquiries into Service Sabotage (SS) have received ample attention in the literature of various industries, the role of Emotional Intelligence (EI) and Emotional Dissonance (ED) in employee-customer relations in the context of Environmental Stimuli (ES) in the tourism accommodation sector has remained unexplored. The role of employee-customer interaction in tourism is paramount for a hospitality organization’s growth, sustainability, and profitability. We hypothesized hotel service employees’ EI and ED can be influential factors to SS. Adopting the Mehrabian-Russell model (M-R) and Stimulus-Organism-Response (S-O-R) framework as conceptual paradigms, we tested the effect of hotel ambiance on employees’ emotions, which can have significant effects on SS. The study revealed that ES links to behaviors and elicits EI and ED as human emotional responses to environments that have a parallel mediating effect on mitigating or neutralizing the negative effect of SS in an organization. The findings provide important insights into an organization’s awareness of the provision of ES as a positive factor for employees, subsequently forming their behavioral consequences of EI and ED which can mitigate the negative impacts of SS. The study yields important implications on how hospitality organizations should pay attention to the impact of rule-breaking behaviors. Theoretical and practical implications are also discussed. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Emotional dissonance; Emotional intelligence; North Cyprus; Service employees; Service sabotage; Tourism accommodation,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85099855491
